050,17,119,Illinois,Madison County,1,15,8580,3911,4669,3710,4416,157,208,6,7,14,21,3,1,21,16,3731,4432,159,209,21,21,17,22,4,2,3862,4624,3662,4376,157,207,5,5,14,20,3,1,21,15,3683,4391,159,208,20,18,17,21,4,2,49,45,48,40,0,1,1,2,0,1,0,0,0,1,48,41,0,1,1,3,0,1,0,0
050,17,119,Illinois,Madison County,1,16,7246,3063,4183,2918,3983,120,157,2,4,13,19,0,0,10,20,2928,4002,121,159,10,17,15,24,0,2,3027,4144,2884,3946,120,157,2,3,13,18,0,0,8,20,2892,3965,121,159,8,16,14,23,0,2,36,39,34,37,0,0,0,1,0,1,0,0,2,0,36,37,0,0,2,1,1,1,0,0
050,17,119,Illinois,Madison County,1,17,5982,2302,3680,2226,3531,65,121,2,4,2,10,1,0,6,14,2231,3545,66,123,6,13,3,14,2,0,2278,3649,2204,3500,65,121,1,4,2,10,0,0,6,14,2209,3514,66,123,5,13,3,14,1,0,24,31,22,31,0,0,1,0,0,0,1,0,0,0,22,31,0,0,1,0,0,0,1,0
050,17,119,Illinois,Madison County,1,18,5441,1673,3768,1616,3604,48,151,1,0,5,5,0,0,3,8,1619,3612,48,151,4,8,5,5,0,0,1660,3749,1603,3585,48,151,1,0,5,5,0,0,3,8,1606,3593,48,151,4,8,5,5,0,0,13,19,13,19,0,0,0,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,0
050,17,119,Illinois,Madison County,2,0,269328,131584,137744,117853,122391,10003,11401,389,370,1052,1285,73,50,2214,2247,119964,124504,11237,12694,1078,1066,1501,1769,140,121,127772,134242,114471,119294,9867,11279,281,280,1021,1239,53,43,2079,2107,116470,121283,11041,12504,902,915,1433,1688,111,106,3812,3502,3382,3097,136,122,108,90,31,46,20,7,135,140,3494,3221,196,190,176,151,68,81,29,15
050,17,119,Illinois,Madison County,2,1,16306,8345,7961,6816,6528,988,904,27,24,62,85,10,2,442,418,7244,6935,1316,1230,99,81,128,145,23,12,7928,7563,6456,6177,970,889,15,16,60,82,7,1,420,398,6867,6564,1287,1203,74,67,122,140,18,11,417,398,360,351,18,15,12,8,2,3,3,1,22,20,377,371,29,27,25,14,6,5,5,1
050,17,119,Illinois,Madison County,2,2,17062,8851,8211,7449,6974,905,786,25,15,81,85,8,3,383,348,7815,7307,1194,1047,77,65,146,147,21,13,8420,7824,7075,6631,885,778,11,5,81,82,6,3,362,325,7425,6946,1164,1025,55,49,138,137,17,10,431,387,374,343,20,8,14,10,0,3,2,0,21,23,390,361,30,22,22,16,8,10,4,3
050,17,119,Illinois,Madison County,2,3,17166,8896,8270,7502,6937,917,885,22,28,86,88,7,4,362,328,7850,7256,1158,1116,104,95,158,151,16,11,8546,7930,7202,6631,907,875,15,21,79,84,4,4,339,315,7530,6940,1136,1098,87,82,145,144,12,11,350,340,300,306,10,10,7,7,7,4,3,0,23,13,320,316,22,18,17,13,13,7,4,0
050,17,119,Illinois,Madison County,2,4,18360,9344,9016,7966,7573,1058,1102,31,23,67,72,1,5,221,241,8178,7801,1181,1255,94,72,125,133,5,9,8983,8711,7652,7318,1035,1084,20,16,62,66,0,4,214,223,7858,7530,1156,1231,81,56,116,121,3,7,361,305,314,255,23,18,11,7,5,6,1,1,7,18,320,271,25,24,13,16,9,12,2,2
050,17,119,Illinois,Madison County,2,5,19941,9890,10051,8669,8569,882,1158,29,22,139,118,12,2,159,182,8823,8740,940,1245,78,78,198,177,16,2,9495,9731,8319,8293,870,1137,16,18,133,111,8,1,149,171,8464,8453,925,1218,58,69,191,168,12,1,395,320,350,276,12,21,13,4,6,7,4,1,10,11,359,287,15,27,20,9,7,9,4,1
050,17,119,Illinois,Madison County,2,6,17838,8972,8866,8044,7757,693,850,36,42,85,91,3,6,111,120,8150,7862,742,914,82,80,113,126,7,16,8652,8550,7761,7483,686,836,21,28,81,88,3,6,100,109,7856,7578,728,895,63,62,108,120,6,15,320,316,283,274,7,14,15,14,4,3,0,0,11,11,294,284,14,19,19,18,5,6,1,1
050,17,119,Illinois,Madison County,2,7,16289,7975,8314,7132,7281,639,795,31,21,85,108,6,4,82,105,7213,7376,670,842,69,71,100,137,7,8,7747,8059,6932,7057,628,789,20,14,85,104,6,4,76,91,7007,7139,656,829,54,58,100,129,7,8,228,255,200,224,11,6,11,7,0,4,0,0,6,14,206,237,14,13,15,13,0,8,0,0
050,17,119,Illinois,Madison County,2,8,16716,8190,8526,7370,7481,619,807,26,30,86,118,7,4,82,86,7443,7560,655,836,63,68,102,147,12,9,7892,8272,7098,7256,608,802,22,22,85,111,4,2,75,79,7165,7329,641,829,56,56,97,138,8,7,298,254,272,225,11,5,4,8,1,7,3,2,7,7,278,231,14,7,7,12,5,9,4,2
050,17,119,Illinois,Madison County,2,9,17338,8617,8721,7820,7813,615,692,23,25,81,100,2,3,76,88,7891,7893,635,723,68,74,95,121,6,9,8383,8525,7615,7643,604,682,20,22,79,96,1,3,64,79,7676,7715,619,708,58,65,91,116,5,9,234,196,205,170,11,10,3,3,2,4,1,0,12,9,215,178,16,15,10,9,4,5,1,0
050,17,119,Illinois,Madison County,2,10,20358,10051,10307,9298,9340,578,751,37,29,70,100,6,7,62,80,9350,9409,596,773,73,81,87,118,9,11,9835,10121,9101,9169,575,747,30,26,67,99,5,5,57,75,9149,9234,593,768,63,75,82,116,7,8,216,186,197,171,3,4,7,3,3,1,1,2,5,5,201,175,3,5,10,6,5,2,2,3
050,17,119,Illinois,Madison County,2,11,20912,10475,10437,9708,9531,592,713,33,35,63,86,3,1,76,71,9782,9592,604,724,81,85,82,106,4,3,10304,10273,9554,9379,587,710,29,32,62,85,2,1,70,66,9623,9435,598,721,73,78,79,104,3,2,171,164,154,152,5,3,4,3,1,1,1,0,6,5,159,157,6,3,8,7,3,2,1,1
