4,14,10196,2371,2641,2023,2654,7,13,129,114,0,0,43,46,78,77
4,15,7624,1548,1937,1442,2337,6,7,92,73,1,0,27,36,60,58
4,16,6382,1160,1687,1168,2102,7,13,37,65,0,1,17,35,32,58
4,17,5269,906,1711,791,1663,6,6,30,41,1,1,16,23,22,52
4,18,5429,877,2087,642,1655,3,11,14,30,0,0,9,25,27,49
5,0,319274,68954,68360,70532,82789,337,369,4697,4862,46,37,3232,3294,6235,5530
5,1,21661,3733,3390,6091,5509,16,30,231,219,2,3,600,476,649,712
5,2,17730,2435,2345,5435,5316,7,11,180,187,1,0,393,403,520,497
5,3,16226,1973,1861,5422,5282,23,17,155,179,3,2,311,282,373,343
5,4,19542,2544,2553,6235,6235,11,18,337,340,1,2,257,251,415,343
5,5,26992,4802,5526,6379,7016,32,22,707,731,4,3,277,309,645,539
5,6,32591,8887,9280,4726,6110,32,41,737,802,13,8,265,307,720,663
5,7,28006,7933,7156,4335,5552,24,30,647,539,1,1,231,297,686,574
5,8,20800,5230,4541,3839,5006,35,23,376,422,2,2,201,164,528,431
5,9,19395,4775,3766,4023,5017,24,19,346,331,2,2,162,154,467,307
5,10,20305,4884,3948,4716,5442,21,27,222,192,4,1,101,129,333,285
5,11,22302,5346,4805,5090,5853,41,18,165,197,2,4,123,132,305,221
5,12,21586,5225,5052,4695,5638,22,32,113,164,4,5,121,129,207,179
5,13,16866,4168,4083,3447,4313,19,28,145,200,5,2,74,95,156,131
5,14,10817,2578,2820,2110,2757,7,17,142,130,0,0,47,55,76,78
5,15,7727,1622,1994,1418,2313,6,5,101,79,1,0,26,37,67,58
5,16,6148,1103,1596,1117,2057,6,13,41,68,0,0,20,32,38,57
5,17,5061,869,1563,795,1637,7,7,31,37,1,1,16,18,21,58
5,18,5519,847,2081,659,1736,4,11,21,45,0,1,7,24,29,54
6,0,318496,69425,68440,69804,81745,338,353,4788,4941,48,45,3297,3367,6318,5587
6,1,21332,3875,3440,5879,5190,19,29,237,238,1,3,595,498,627,701
6,2,18097,2595,2522,5421,5289,9,11,172,175,2,1,427,408,545,520
6,3,15785,2009,1885,5129,5072,17,11,171,156,2,2,322,302,365,342
6,4,18260,2486,2478,5758,5646,11,14,323,340,2,2,250,231,387,332
6,5,26627,4498,5028,6669,7212,36,24,681,686,4,6,319,314,620,530
6,6,32333,8610,9121,4816,6123,33,27,775,838,13,12,255,328,735,647
6,7,28893,8266,7537,4380,5608,24,40,668,573,2,1,218,297,705,574
6,8,21090,5473,4762,3807,4872,34,18,369,393,1,0,193,160,550,458
6,9,19339,4726,3845,3943,4969,22,27,348,357,2,2,181,167,442,308
6,10,19617,4753,3804,4405,5235,23,27,261,211,5,0,99,123,377,294
6,11,21895,5246,4679,5068,5714,32,17,164,205,2,6,110,121,317,214
6,12,22030,5321,5100,4781,5807,25,26,117,165,1,3,122,146,227,189
6,13,17578,4391,4272,3557,4475,23,24,142,198,7,4,79,103,165,138
6,14,11436,2724,2934,2248,2914,8,24,136,158,2,0,55,58,86,89
6,15,7784,1704,2035,1417,2224,6,5,111,79,0,0,25,32,74,72
6,16,6071,1077,1573,1086,2027,6,11,56,71,1,0,22,33,44,64
6,17,4840,844,1406,776,1603,6,7,34,48,1,1,16,23,22,53
6,18,5489,827,2019,664,1765,4,11,23,50,0,2,9,23,30,62
7,0,317419,69717,68618,68809,80880,329,373,4802,4973,45,36,3341,3448,6379,5669
7,1,21205,4009,3576,5689,4991,21,33,258,254,1,3,580,510,609,671
7,2,18187,2734,2593,5314,5191,12,9,158,158,3,1,467,428,573,546
7,3,15717,2049,1976,5017,4958,13,13,177,146,1,1,304,312,380,370
7,4,17335,2429,2428,5331,5211,13,11,335,347,2,2,258,236,392,340
7,5,25514,4161,4749,6607,7008,29,20,603,608,1,3,314,309,608,494
7,6,32490,8575,8854,4873,6431,26,29,796,869,17,6,272,340,748,654
7,7,29217,8397,7779,4336,5635,26,46,651,597,1,2,225,278,665,579
7,8,21654,5685,4967,3815,4890,27,26,374,386,0,0,209,193,602,480
7,9,19170,4581,3815,3866,5025,24,30,345,367,2,2,171,169,444,329
7,10,18934,4538,3720,4210,5015,23,23,283,228,4,0,99,116,379,296
7,11,21336,5175,4586,4920,5476,29,27,174,190,1,5,111,127,288,227
7,12,22237,5329,5091,4824,5887,33,21,146,180,1,3,125,138,251,208
7,13,18354,4634,4506,3741,4594,22,26,121,206,6,1,79,110,169,139
7,14,12091,2919,3083,2326,3106,9,25,145,172,3,3,56,61,97,86
7,15,7970,1782,2068,1470,2220,8,6,114,82,0,0,22,43,85,70
7,16,5958,1126,1577,1056,1909,5,9,65,67,1,1,24,30,34,54
7,17,4635,809,1292,743,1565,7,8,34,52,0,1,14,25,26,59
7,18,5415,785,1958,671,1768,2,11,23,64,1,2,11,23,29,67
