SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,29,071,Missouri,Franklin County,3,0,101537,50290,51247,48916,49849,494,377,161,181,167,254,16,26,536,560,49439,50387,685,598,429,437,257,349,28,42,49572,50559,48266,49235,489,371,142,149,164,252,11,21,500,531,48756,49747,670,581,383,388,250,344,22,36,718,688,650,614,5,6,19,32,3,2,5,5,36,29,683,640,15,17,46,49,7,5,6,6
050,29,071,Missouri,Franklin County,3,1,6534,3327,3207,3175,3011,33,44,7,13,12,13,1,3,99,123,3270,3130,94,119,31,37,34,38,3,6,3237,3123,3099,2939,31,43,7,9,12,13,1,3,87,116,3184,3051,87,114,25,30,31,38,2,6,90,84,76,72,2,1,0,4,0,0,0,0,12,7,86,79,7,5,6,7,3,0,1,0
050,29,071,Missouri,Franklin County,3,2,6897,3563,3334,3441,3196,31,33,11,11,13,17,2,1,65,76,3506,3272,66,74,32,30,22,31,2,3,3461,3264,3349,3135,31,33,7,8,13,17,1,1,60,70,3409,3205,65,73,24,24,22,29,1,3,102,70,92,61,0,0,4,3,0,0,1,0,5,6,97,67,1,1,8,6,0,2,1,0
050,29,071,Missouri,Franklin County,3,3,7209,3728,3481,3608,3341,30,32,12,21,18,16,0,3,60,68,3666,3407,61,69,31,44,28,28,2,3,3670,3405,3556,3274,29,31,10,18,18,16,0,2,57,64,3611,3337,60,66,27,38,27,28,2,2,58,76,52,67,1,1,2,3,0,0,0,1,3,4,55,70,1,3,4,6,1,0,0,1
050,29,071,Missouri,Franklin County,3,4,6988,3588,3400,3447,3282,39,29,21,16,21,17,2,2,58,54,3505,3334,64,53,47,38,29,25,3,5,3533,3317,3400,3204,39,28,19,13,20,17,1,1,54,54,3454,3256,63,52,41,35,28,25,2,4,55,83,47,78,0,1,2,3,1,0,1,1,4,0,51,78,1,1,6,3,1,0,1,1
050,29,071,Missouri,Franklin County,3,5,5827,2955,2872,2852,2788,50,23,12,10,6,15,3,3,32,33,2881,2820,62,34,26,26,14,21,4,4,2889,2816,2790,2739,50,23,10,7,6,15,2,2,31,30,2818,2768,62,33,23,21,14,21,3,3,66,56,62,49,0,0,2,3,0,0,1,1,1,3,63,52,0,1,3,5,0,0,1,1
050,29,071,Missouri,Franklin County,3,6,6117,3086,3031,2995,2954,40,16,8,12,13,24,1,1,29,24,3024,2978,46,23,23,23,20,29,2,2,3026,2980,2937,2909,40,15,7,8,13,23,1,1,28,24,2965,2933,46,22,21,19,20,28,2,2,60,51,58,45,0,1,1,4,0,1,0,0,1,0,59,45,0,1,2,4,0,1,0,0
050,29,071,Missouri,Franklin County,3,7,5758,2936,2822,2847,2761,35,15,8,7,15,18,0,2,31,19,2876,2777,40,19,30,18,20,24,1,4,2890,2790,2806,2731,34,15,7,5,15,18,0,2,28,19,2833,2747,38,19,26,16,20,24,1,4,46,32,41,30,1,0,1,2,0,0,0,0,3,0,43,30,2,0,4,2,0,0,0,0
050,29,071,Missouri,Franklin County,3,8,6075,3011,3064,2944,2982,27,20,10,12,8,22,0,2,22,26,2966,3006,31,26,23,28,13,27,0,3,2972,3024,2906,2944,27,20,9,12,8,22,0,1,22,25,2928,2967,31,26,22,27,13,27,0,2,39,40,38,38,0,0,1,0,0,0,0,1,0,1,38,39,0,0,1,1,0,0,0,1
050,29,071,Missouri,Franklin County,3,9,6972,3432,3540,3357,3441,24,21,12,17,15,26,1,5,23,30,3379,3469,26,24,29,40,20,31,2,6,3396,3495,3326,3402,23,21,9,12,15,26,0,5,23,29,3348,3429,25,23,26,35,20,31,1,6,36,45,31,39,1,0,3,5,0,0,1,0,0,1,31,40,1,1,3,5,0,0,1,0
